8140 = U+3000 // 　
91bf = U+6c70 // 汰
91c0 = U+8a51 // 詑
91c1 = U+553e // 唾
91c2 = U+5815 // 堕
91c3 = U+59a5 // 妥
91c4 = U+60f0 // 惰
91c5 = U+6253 // 打
91c6 = U+67c1 // 柁
91c7 = U+8235 // 舵
91c8 = U+6955 // 楕
91c9 = U+9640 // 陀
91ca = U+99c4 // 駄
91cb = U+9a28 // 騨
91cc = U+4f53 // 体
91cd = U+5806 // 堆
91ce = U+5bfe // 対
91cf = U+8010 // 耐
91d0 = U+5cb1 // 岱
91d1 = U+5e2f // 帯
91d2 = U+5f85 // 待
91d3 = U+6020 // 怠
91d4 = U+614b // 態
91d5 = U+6234 // 戴
91d6 = U+66ff // 替
91d7 = U+6cf0 // 泰
91d8 = U+6ede // 滞
91d9 = U+80ce // 胎
91da = U+817f // 腿
91db = U+82d4 // 苔
91dc = U+888b // 袋
91dd = U+8cb8 // 貸
91de = U+9000 // 退
91df = U+902e // 逮
91e0 = U+968a // 隊
91e1 = U+9edb // 黛
91e2 = U+9bdb // 鯛
91e3 = U+4ee3 // 代
91e4 = U+53f0 // 台
91e5 = U+5927 // 大
91e6 = U+7b2c // 第
91e7 = U+918d // 醍
91e8 = U+984c // 題
91e9 = U+9df9 // 鷹
91ea = U+6edd // 滝
91eb = U+7027 // 瀧
91ec = U+5353 // 卓
91ed = U+5544 // 啄
91ee = U+5b85 // 宅
91ef = U+6258 // 托
91f0 = U+629e // 択
91f1 = U+62d3 // 拓
91f2 = U+6ca2 // 沢
91f3 = U+6fef // 濯
91f4 = U+7422 // 琢
91f5 = U+8a17 // 託
91f6 = U+9438 // 鐸
91f7 = U+6fc1 // 濁
91f8 = U+8afe // 諾
91f9 = U+8338 // 茸
91fa = U+51e7 // 凧
91fb = U+86f8 // 蛸
91fc = U+53ea // 只
9240 = U+53e9 // 叩
9241 = U+4f46 // 但
9242 = U+9054 // 達
9243 = U+8fb0 // 辰
9244 = U+596a // 奪
9245 = U+8131 // 脱
9246 = U+5dfd // 巽
9247 = U+7aea // 竪
9248 = U+8fbf // 辿
9249 = U+68da // 棚
924a = U+8c37 // 谷
924b = U+72f8 // 狸
924c = U+9c48 // 鱈
924d = U+6a3d // 樽
924e = U+8ab0 // 誰
924f = U+4e39 // 丹
9250 = U+5358 // 単
9251 = U+5606 // 嘆
9252 = U+5766 // 坦
9253 = U+62c5 // 担
9254 = U+63a2 // 探
9255 = U+65e6 // 旦
9256 = U+6b4e // 歎
9257 = U+6de1 // 淡
9258 = U+6e5b // 湛
9259 = U+70ad // 炭
925a = U+77ed // 短
925b = U+7aef // 端
925d = U+7dbb // 綻
925e = U+803d // 耽
925f = U+80c6 // 胆
9261 = U+8a95 // 誕
9262 = U+935b // 鍛
9263 = U+56e3 // 団
9264 = U+58c7 // 壇
9265 = U+5f3e // 弾
9266 = U+65ad // 断
9267 = U+6696 // 暖
9268 = U+6a80 // 檀
9269 = U+6bb5 // 段
926a = U+7537 // 男
926b = U+8ac7 // 談
926c = U+5024 // 値
926d = U+77e5 // 知
926e = U+5730 // 地
926f = U+5f1b // 弛
9270 = U+6065 // 恥
9271 = U+667a // 智
9272 = U+6c60 // 池
9273 = U+75f4 // 痴
9274 = U+7a1a // 稚
9275 = U+7f6e // 置
9276 = U+81f4 // 致
9277 = U+8718 // 蜘
9278 = U+9045 // 遅
9279 = U+99b3 // 馳
927a = U+7bc9 // 築
927b = U+755c // 畜
927c = U+7af9 // 竹
927d = U+7b51 // 筑
927e = U+84c4 // 蓄
9280 = U+9010 // 逐
9281 = U+79e9 // 秩
9282 = U+7a92 // 窒
9283 = U+8336 // 茶
9284 = U+5ae1 // 嫡
9285 = U+7740 // 着
9286 = U+4e2d // 中
9287 = U+4ef2 // 仲
9288 = U+5b99 // 宙
9289 = U+5fe0 // 忠
928a = U+62bd // 抽
928b = U+663c // 昼
928c = U+67f1 // 柱
928d = U+6ce8 // 注
928e = U+866b // 虫
928f = U+8877 // 衷
9290 = U+8a3b // 註
9291 = U+914e // 酎
9292 = U+92f3 // 鋳
9293 = U+99d0 // 駐
9294 = U+6a17 // 樗
9295 = U+7026 // 瀦
9296 = U+732a // 猪
9297 = U+82e7 // 苧
9298 = U+8457 // 著
9299 = U+8caf // 貯
929a = U+4e01 // 丁
929b = U+5146 // 兆
929c = U+51cb // 凋
929d = U+558b // 喋
929e = U+5bf5 // 寵
929f = U+5e16 // 帖
92a0 = U+5e33 // 帳
92a1 = U+5e81 // 庁
92a2 = U+5f14 // 弔
92a3 = U+5f35 // 張
92a4 = U+5f6b // 彫
92a5 = U+5fb4 // 徴
92a6 = U+61f2 // 懲
92a7 = U+6311 // 挑
92a8 = U+66a2 // 暢
92a9 = U+671d // 朝
92aa = U+6f6e // 潮
92ab = U+7252 // 牒
92ac = U+753a // 町
92ad = U+773a // 眺
92ae = U+8074 // 聴
92af = U+8139 // 脹
92b0 = U+8178 // 腸
92b1 = U+8776 // 蝶
92b2 = U+8abf // 調
92b3 = U+8adc // 諜
92b4 = U+8d85 // 超
92b5 = U+8df3 // 跳
92b6 = U+929a // 銚
92b7 = U+9577 // 長
92b8 = U+9802 // 頂
92b9 = U+9ce5 // 鳥
92ba = U+52c5 // 勅
92bb = U+6357 // 捗
92bc = U+76f4 // 直
92bd = U+6715 // 朕
92be = U+6c88 // 沈
92bf = U+73cd // 珍
92c0 = U+8cc3 // 賃
92c1 = U+93ae // 鎮
92c2 = U+9673 // 陳
92c3 = U+6d25 // 津
92c4 = U+589c // 墜
92c5 = U+690e // 椎
92c6 = U+69cc // 槌
92c7 = U+8ffd // 追
92c8 = U+939a // 鎚
92c9 = U+75db // 痛
92ca = U+901a // 通
92cb = U+585a // 塚
92cc = U+6802 // 栂
92cd = U+63b4 // 掴
92ce = U+69fb // 槻
92cf = U+4f43 // 佃
92d0 = U+6f2c // 漬
92d1 = U+67d8 // 柘
92d2 = U+8fbb // 辻
92d3 = U+8526 // 蔦
92d4 = U+7db4 // 綴
92d5 = U+9354 // 鍔
92d6 = U+693f // 椿
92d7 = U+6f70 // 潰
92d8 = U+576a // 坪
92d9 = U+58f7 // 壷
92da = U+5b2c // 嬬
92db = U+7d2c // 紬
92dc = U+722a // 爪
92dd = U+540a // 吊
92de = U+91e3 // 釣
92df = U+9db4 // 鶴
92e0 = U+4ead // 亭
92e1 = U+4f4e // 低
92e2 = U+505c // 停
92e3 = U+5075 // 偵
92e4 = U+5243 // 剃
92e5 = U+8c9e // 貞
92e6 = U+5448 // 呈
92e7 = U+5824 // 堤
92e8 = U+5b9a // 定
92e9 = U+5e1d // 帝
92ea = U+5e95 // 底
92eb = U+5ead // 庭
92ec = U+5ef7 // 廷
92ed = U+5f1f // 弟
92ee = U+608c // 悌
92ef = U+62b5 // 抵
92f0 = U+633a // 挺
92f1 = U+63d0 // 提
92f2 = U+68af // 梯
92f3 = U+6c40 // 汀
92f4 = U+7887 // 碇
92f5 = U+798e // 禎
92f6 = U+7a0b // 程
92f7 = U+7de0 // 締
92f8 = U+8247 // 艇
92f9 = U+8a02 // 訂
92fa = U+8ae6 // 諦
92fb = U+8e44 // 蹄
92fc = U+9013 // 逓
9340 = U+90b8 // 邸
9341 = U+912d // 鄭
9342 = U+91d8 // 釘
9343 = U+9f0e // 鼎
9344 = U+6ce5 // 泥
9345 = U+6458 // 摘
9346 = U+64e2 // 擢
9347 = U+6575 // 敵
9348 = U+6ef4 // 滴
9349 = U+7684 // 的
934a = U+7b1b // 笛
934b = U+9069 // 適
934c = U+93d1 // 鏑
934d = U+6eba // 溺
934e = U+54f2 // 哲
934f = U+5fb9 // 徹
9350 = U+64a4 // 撤
9351 = U+8f4d // 轍
9352 = U+8fed // 迭
9353 = U+9244 // 鉄
9354 = U+5178 // 典
9355 = U+586b // 填
9356 = U+5929 // 天
9357 = U+5c55 // 展
9358 = U+5e97 // 店
9359 = U+6dfb // 添
935a = U+7e8f // 纏
935b = U+751c // 甜
935d = U+8ee2 // 転
935e = U+985b // 顛
935f = U+70b9 // 点
9361 = U+6bbf // 殿
9362 = U+6fb1 // 澱
9363 = U+7530 // 田
9364 = U+96fb // 電
9365 = U+514e // 兎
9366 = U+5410 // 吐
9367 = U+5835 // 堵
9368 = U+5857 // 塗
9369 = U+59ac // 妬
936a = U+5c60 // 屠
936b = U+5f92 // 徒
936c = U+6597 // 斗
936d = U+675c // 杜
936e = U+6e21 // 渡
936f = U+767b // 登
9370 = U+83df // 菟
9371 = U+8ced // 賭
9372 = U+9014 // 途
9373 = U+90fd // 都
9374 = U+934d // 鍍
9375 = U+7825 // 砥
9376 = U+783a // 砺
9377 = U+52aa // 努
9378 = U+5ea6 // 度
9379 = U+571f // 土
937a = U+5974 // 奴
937b = U+6012 // 怒
937c = U+5012 // 倒
937d = U+515a // 党
937e = U+51ac // 冬
9380 = U+51cd // 凍
9381 = U+5200 // 刀
9382 = U+5510 // 唐
9383 = U+5854 // 塔
9384 = U+5858 // 塘
9385 = U+5957 // 套
9386 = U+5b95 // 宕
9387 = U+5cf6 // 島
9388 = U+5d8b // 嶋
9389 = U+60bc // 悼
938a = U+6295 // 投
938b = U+642d // 搭
938c = U+6771 // 東
938d = U+6843 // 桃
938e = U+68bc // 梼
938f = U+68df // 棟
9390 = U+76d7 // 盗
9391 = U+6dd8 // 淘
9392 = U+6e6f // 湯
9393 = U+6d9b // 涛
9394 = U+706f // 灯
9395 = U+71c8 // 燈
9396 = U+5f53 // 当
9397 = U+75d8 // 痘
9398 = U+7977 // 祷
9399 = U+7b49 // 等
939a = U+7b54 // 答
939b = U+7b52 // 筒
939c = U+7cd6 // 糖
939d = U+7d71 // 統
939e = U+5230 // 到
939f = U+8463 // 董
93a0 = U+8569 // 蕩
93a1 = U+85e4 // 藤
93a2 = U+8a0e // 討
93a3 = U+8b04 // 謄
93a4 = U+8c46 // 豆
93a5 = U+8e0f // 踏
93a6 = U+9003 // 逃
93a7 = U+900f // 透
93a8 = U+9419 // 鐙
93a9 = U+9676 // 陶
93aa = U+982d // 頭
93ab = U+9a30 // 騰
93ac = U+95d8 // 闘
93ad = U+50cd // 働
93ae = U+52d5 // 動
93af = U+540c // 同
93b0 = U+5802 // 堂
93b1 = U+5c0e // 導
93b2 = U+61a7 // 憧
93b3 = U+649e // 撞
93b4 = U+6d1e // 洞
93b5 = U+77b3 // 瞳
93b6 = U+7ae5 // 童
93b7 = U+80f4 // 胴
93b8 = U+8404 // 萄
93b9 = U+9053 // 道
93ba = U+9285 // 銅
93bb = U+5ce0 // 峠
93bc = U+9d07 // 鴇
93bd = U+533f // 匿
93be = U+5f97 // 得
93bf = U+5fb3 // 徳
93c0 = U+6d9c // 涜
93c1 = U+7279 // 特
93c2 = U+7763 // 督
93c3 = U+79bf // 禿
93c4 = U+7be4 // 篤
93c5 = U+6bd2 // 毒
93c6 = U+72ec // 独
93c7 = U+8aad // 読
93c8 = U+6803 // 栃
93c9 = U+6a61 // 橡
93ca = U+51f8 // 凸
93cb = U+7a81 // 突
93cc = U+6934 // 椴
93cd = U+5c4a // 届
93ce = U+9cf6 // 鳶
93cf = U+82eb // 苫
93d0 = U+5bc5 // 寅
93d1 = U+9149 // 酉
93d2 = U+701e // 瀞
93d3 = U+5678 // 噸
93d4 = U+5c6f // 屯
93d5 = U+60c7 // 惇
93d6 = U+6566 // 敦
93d7 = U+6c8c // 沌
93d8 = U+8c5a // 豚
93d9 = U+9041 // 遁
93da = U+9813 // 頓
93db = U+5451 // 呑
93dc = U+66c7 // 曇
93dd = U+920d // 鈍
93de = U+5948 // 奈
93df = U+90a3 // 那
93e0 = U+5185 // 内
93e1 = U+4e4d // 乍
93e2 = U+51ea // 凪
93e3 = U+8599 // 薙
93e4 = U+8b0e // 謎
93e5 = U+7058 // 灘
93e6 = U+637a // 捺
93e7 = U+934b // 鍋
93e8 = U+6962 // 楢
93e9 = U+99b4 // 馴
93ea = U+7e04 // 縄
93eb = U+7577 // 畷
93ec = U+5357 // 南
93ed = U+6960 // 楠
93ee = U+8edf // 軟
93ef = U+96e3 // 難
93f0 = U+6c5d // 汝
93f1 = U+4e8c // 二
93f2 = U+5c3c // 尼
93f3 = U+5f10 // 弐
93f4 = U+8fe9 // 迩
93f5 = U+5302 // 匂
93f6 = U+8cd1 // 賑
93f7 = U+8089 // 肉
93f8 = U+8679 // 虹
93f9 = U+5eff // 廿
93fa = U+65e5 // 日
93fb = U+4e73 // 乳
93fc = U+5165 // 入
9440 = U+5982 // 如
9441 = U+5c3f // 尿
9442 = U+97ee // 韮
9443 = U+4efb // 任
9444 = U+598a // 妊
9445 = U+5fcd // 忍
9446 = U+8a8d // 認
9447 = U+6fe1 // 濡
9448 = U+79b0 // 禰
9449 = U+7962 // 祢
944a = U+5be7 // 寧
944b = U+8471 // 葱
944c = U+732b // 猫
944d = U+71b1 // 熱
944e = U+5e74 // 年
944f = U+5ff5 // 念
9450 = U+637b // 捻
9451 = U+649a // 撚
9452 = U+71c3 // 燃
9453 = U+7c98 // 粘
9454 = U+4e43 // 乃
9455 = U+5efc // 廼
9456 = U+4e4b // 之
9457 = U+57dc // 埜
9458 = U+56a2 // 嚢
9459 = U+60a9 // 悩
945a = U+6fc3 // 濃
945b = U+7d0d // 納
945d = U+8133 // 脳
945e = U+81bf // 膿
945f = U+8fb2 // 農
9461 = U+86a4 // 蚤
9462 = U+5df4 // 巴
9463 = U+628a // 把
9464 = U+64ad // 播
9465 = U+8987 // 覇
9466 = U+6777 // 杷
9467 = U+6ce2 // 波
9468 = U+6d3e // 派
9469 = U+7436 // 琶
946a = U+7834 // 破
946b = U+5a46 // 婆
946c = U+7f75 // 罵
946d = U+82ad // 芭
946e = U+99ac // 馬
946f = U+4ff3 // 俳
9470 = U+5ec3 // 廃
9471 = U+62dd // 拝
9472 = U+6392 // 排
9473 = U+6557 // 敗
9474 = U+676f // 杯
9475 = U+76c3 // 盃
9476 = U+724c // 牌
9477 = U+80cc // 背
9478 = U+80ba // 肺
9479 = U+8f29 // 輩
947a = U+914d // 配
947b = U+500d // 倍
947c = U+57f9 // 培
947d = U+5a92 // 媒
947e = U+6885 // 梅
9480 = U+6973 // 楳
9481 = U+7164 // 煤
9482 = U+72fd // 狽
9483 = U+8cb7 // 買
9484 = U+58f2 // 売
9485 = U+8ce0 // 賠
9486 = U+966a // 陪
9487 = U+9019 // 這
9488 = U+877f // 蝿
9489 = U+79e4 // 秤
948a = U+77e7 // 矧
948b = U+8429 // 萩
948c = U+4f2f // 伯
948d = U+5265 // 剥
948e = U+535a // 博
948f = U+62cd // 拍
9490 = U+67cf // 柏
9491 = U+6cca // 泊
9492 = U+767d // 白
9493 = U+7b94 // 箔
9494 = U+7c95 // 粕
9495 = U+8236 // 舶
9496 = U+8584 // 薄
9497 = U+8feb // 迫
9498 = U+66dd // 曝
9499 = U+6f20 // 漠
949a = U+7206 // 爆
949b = U+7e1b // 縛
949c = U+83ab // 莫
949d = U+99c1 // 駁
949e = U+9ea6 // 麦
949f = U+51fd // 函
94a0 = U+7bb1 // 箱
94a1 = U+7872 // 硲
94a2 = U+7bb8 // 箸
94a3 = U+8087 // 肇
94a4 = U+7b48 // 筈
94a5 = U+6ae8 // 櫨
94a6 = U+5e61 // 幡
94a7 = U+808c // 肌
94a8 = U+7551 // 畑
94a9 = U+7560 // 畠
94aa = U+516b // 八
94ab = U+9262 // 鉢
94ac = U+6e8c // 溌
94ad = U+767a // 発
94ae = U+9197 // 醗
94af = U+9aea // 髪
94b0 = U+4f10 // 伐
94b1 = U+7f70 // 罰
94b2 = U+629c // 抜
94b3 = U+7b4f // 筏
94b4 = U+95a5 // 閥
94b5 = U+9ce9 // 鳩
94b6 = U+567a // 噺
94b7 = U+5859 // 塙
94b8 = U+86e4 // 蛤
94b9 = U+96bc // 隼
94ba = U+4f34 // 伴
94bb = U+5224 // 判
94bc = U+534a // 半
94bd = U+53cd // 反
94be = U+53db // 叛
94bf = U+5e06 // 帆
94c0 = U+642c // 搬
94c1 = U+6591 // 斑
94c2 = U+677f // 板
94c3 = U+6c3e // 氾
94c4 = U+6c4e // 汎
94c5 = U+7248 // 版
94c6 = U+72af // 犯
94c7 = U+73ed // 班
94c8 = U+7554 // 畔
94c9 = U+7e41 // 繁
94ca = U+822c // 般
94cb = U+85e9 // 藩
94cc = U+8ca9 // 販
94cd = U+7bc4 // 範
94ce = U+91c6 // 釆
94cf = U+7169 // 煩
94d0 = U+9812 // 頒
94d1 = U+98ef // 飯
94d2 = U+633d // 挽
94d3 = U+6669 // 晩
94d4 = U+756a // 番
94d5 = U+76e4 // 盤
94d6 = U+78d0 // 磐
94d7 = U+8543 // 蕃
94d8 = U+86ee // 蛮
94d9 = U+532a // 匪
94da = U+5351 // 卑
94db = U+5426 // 否
94dc = U+5983 // 妃
94dd = U+5e87 // 庇
94de = U+5f7c // 彼
94df = U+60b2 // 悲
94e0 = U+6249 // 扉
94e1 = U+6279 // 批
94e2 = U+62ab // 披
94e3 = U+6590 // 斐
94e4 = U+6bd4 // 比
94e5 = U+6ccc // 泌
94e6 = U+75b2 // 疲
94e7 = U+76ae // 皮
94e8 = U+7891 // 碑
94e9 = U+79d8 // 秘
94ea = U+7dcb // 緋
94eb = U+7f77 // 罷
94ec = U+80a5 // 肥
94ed = U+88ab // 被
94ee = U+8ab9 // 誹
94ef = U+8cbb // 費
94f0 = U+907f // 避
94f1 = U+975e // 非
94f2 = U+98db // 飛
94f3 = U+6a0b // 樋
94f4 = U+7c38 // 簸
94f5 = U+5099 // 備
94f6 = U+5c3e // 尾
94f7 = U+5fae // 微
94f8 = U+6787 // 枇
94f9 = U+6bd8 // 毘
94fa = U+7435 // 琵
94fb = U+7709 // 眉
94fc = U+7f8e // 美
9540 = U+9f3b // 鼻
9541 = U+67ca // 柊
9542 = U+7a17 // 稗
9543 = U+5339 // 匹
9544 = U+758b // 疋
9545 = U+9aed // 髭
9546 = U+5f66 // 彦
9547 = U+819d // 膝
9548 = U+83f1 // 菱
9549 = U+8098 // 肘
954a = U+5f3c // 弼
954b = U+5fc5 // 必
954c = U+7562 // 畢
954d = U+7b46 // 筆
954e = U+903c // 逼
954f = U+6867 // 桧
9550 = U+59eb // 姫
9551 = U+5a9b // 媛
9552 = U+7d10 // 紐
9553 = U+767e // 百
9554 = U+8b2c // 謬
9555 = U+4ff5 // 俵
9556 = U+5f6a // 彪
9557 = U+6a19 // 標
9558 = U+6c37 // 氷
9559 = U+6f02 // 漂
955a = U+74e2 // 瓢
955b = U+7968 // 票
955d = U+8a55 // 評
955e = U+8c79 // 豹
955f = U+5edf // 廟
9561 = U+75c5 // 病
9562 = U+79d2 // 秒
9563 = U+82d7 // 苗
9564 = U+9328 // 錨
9565 = U+92f2 // 鋲
9566 = U+849c // 蒜
9567 = U+86ed // 蛭
9568 = U+9c2d // 鰭
9569 = U+54c1 // 品
956a = U+5f6c // 彬
956b = U+658c // 斌
956c = U+6d5c // 浜
956d = U+7015 // 瀕
956e = U+8ca7 // 貧
956f = U+8cd3 // 賓
9570 = U+983b // 頻
9571 = U+654f // 敏
9572 = U+74f6 // 瓶
9573 = U+4e0d // 不
9574 = U+4ed8 // 付
9575 = U+57e0 // 埠
9576 = U+592b // 夫
9577 = U+5a66 // 婦
9578 = U+5bcc // 富
9579 = U+51a8 // 冨
957a = U+5e03 // 布
957b = U+5e9c // 府
957c = U+6016 // 怖
957d = U+6276 // 扶
957e = U+6577 // 敷
9580 = U+65a7 // 斧
9581 = U+666e // 普
9582 = U+6d6e // 浮
9583 = U+7236 // 父
9584 = U+7b26 // 符
9585 = U+8150 // 腐
9586 = U+819a // 膚
9587 = U+8299 // 芙
9588 = U+8b5c // 譜
9589 = U+8ca0 // 負
958a = U+8ce6 // 賦
958b = U+8d74 // 赴
958c = U+961c // 阜
958d = U+9644 // 附
958e = U+4fae // 侮
958f = U+64ab // 撫
9590 = U+6b66 // 武
9591 = U+821e // 舞
9592 = U+8461 // 葡
9593 = U+856a // 蕪
9594 = U+90e8 // 部
9595 = U+5c01 // 封
9596 = U+6953 // 楓
9597 = U+98a8 // 風
9598 = U+847a // 葺
9599 = U+8557 // 蕗
959a = U+4f0f // 伏
959b = U+526f // 副
959c = U+5fa9 // 復
959d = U+5e45 // 幅
959e = U+670d // 服
959f = U+798f // 福
95a0 = U+8179 // 腹
95a1 = U+8907 // 複
95a2 = U+8986 // 覆
95a3 = U+6df5 // 淵
95a4 = U+5f17 // 弗
95a5 = U+6255 // 払
95a6 = U+6cb8 // 沸
95a7 = U+4ecf // 仏
95a8 = U+7269 // 物
95a9 = U+9b92 // 鮒
95aa = U+5206 // 分
95ab = U+543b // 吻
95ac = U+5674 // 噴
95ad = U+58b3 // 墳
95ae = U+61a4 // 憤
95af = U+626e // 扮
95b0 = U+711a // 焚
95b1 = U+596e // 奮
95b2 = U+7c89 // 粉
95b3 = U+7cde // 糞
95b4 = U+7d1b // 紛
95b5 = U+96f0 // 雰
95b6 = U+6587 // 文
95b7 = U+805e // 聞
95b8 = U+4e19 // 丙
95b9 = U+4f75 // 併
95ba = U+5175 // 兵
95bb = U+5840 // 塀
95bc = U+5e63 // 幣
95bd = U+5e73 // 平
95be = U+5f0a // 弊
95bf = U+67c4 // 柄
95c0 = U+4e26 // 並
95c1 = U+853d // 蔽
95c2 = U+9589 // 閉
95c3 = U+965b // 陛
95c4 = U+7c73 // 米
95c5 = U+9801 // 頁
95c6 = U+50fb // 僻
95c7 = U+58c1 // 壁
95c8 = U+7656 // 癖
95c9 = U+78a7 // 碧
95ca = U+5225 // 別
95cb = U+77a5 // 瞥
95cc = U+8511 // 蔑
95cd = U+7b86 // 箆
95ce = U+504f // 偏
95cf = U+5909 // 変
95d0 = U+7247 // 片
95d1 = U+7bc7 // 篇
95d2 = U+7de8 // 編
95d3 = U+8fba // 辺
95d4 = U+8fd4 // 返
95d5 = U+904d // 遍
95d6 = U+4fbf // 便
95d7 = U+52c9 // 勉
95d8 = U+5a29 // 娩
95d9 = U+5f01 // 弁
95da = U+97ad // 鞭
95db = U+4fdd // 保
95dc = U+8217 // 舗
95dd = U+92ea // 鋪
95de = U+5703 // 圃
95df = U+6355 // 捕
95e0 = U+6b69 // 歩
95e1 = U+752b // 甫
95e2 = U+88dc // 補
95e3 = U+8f14 // 輔
95e4 = U+7a42 // 穂
95e5 = U+52df // 募
95e6 = U+5893 // 墓
95e7 = U+6155 // 慕
95e8 = U+620a // 戊
95e9 = U+66ae // 暮
95ea = U+6bcd // 母
95eb = U+7c3f // 簿
95ec = U+83e9 // 菩
95ed = U+5023 // 倣
95ee = U+4ff8 // 俸
95ef = U+5305 // 包
95f0 = U+5446 // 呆
95f1 = U+5831 // 報
95f2 = U+5949 // 奉
95f3 = U+5b9d // 宝
95f4 = U+5cf0 // 峰
95f5 = U+5cef // 峯
95f6 = U+5d29 // 崩
95f7 = U+5e96 // 庖
95f8 = U+62b1 // 抱
95f9 = U+6367 // 捧
95fa = U+653e // 放
95fb = U+65b9 // 方
95fc = U+670b // 朋
9640 = U+6cd5 // 法
9641 = U+6ce1 // 泡
9642 = U+70f9 // 烹
9643 = U+7832 // 砲
9644 = U+7e2b // 縫
9645 = U+80de // 胞
9646 = U+82b3 // 芳
9647 = U+840c // 萌
9648 = U+84ec // 蓬
9649 = U+8702 // 蜂
964a = U+8912 // 褒
964b = U+8a2a // 訪
964c = U+8c4a // 豊
964d = U+90a6 // 邦
964e = U+92d2 // 鋒
964f = U+98fd // 飽
9650 = U+9cf3 // 鳳
9651 = U+9d6c // 鵬
9652 = U+4e4f // 乏
9653 = U+4ea1 // 亡
9654 = U+508d // 傍
9655 = U+5256 // 剖
9656 = U+574a // 坊
9657 = U+59a8 // 妨
9658 = U+5e3d // 帽
9659 = U+5fd8 // 忘
965a = U+5fd9 // 忙
965b = U+623f // 房
965d = U+671b // 望
965e = U+67d0 // 某
965f = U+68d2 // 棒
9661 = U+7d21 // 紡
9662 = U+80aa // 肪
9663 = U+81a8 // 膨
9664 = U+8b00 // 謀
9665 = U+8c8c // 貌
9666 = U+8cbf // 貿
9667 = U+927e // 鉾
9668 = U+9632 // 防
9669 = U+5420 // 吠
966a = U+982c // 頬
966b = U+5317 // 北
966c = U+50d5 // 僕
966d = U+535c // 卜
966e = U+58a8 // 墨
966f = U+64b2 // 撲
9670 = U+6734 // 朴
9671 = U+7267 // 牧
9672 = U+7766 // 睦
9673 = U+7a46 // 穆
9674 = U+91e6 // 釦
9675 = U+52c3 // 勃
9676 = U+6ca1 // 没
9677 = U+6b86 // 殆
9678 = U+5800 // 堀
9679 = U+5e4c // 幌
967a = U+5954 // 奔
967b = U+672c // 本
967c = U+7ffb // 翻
967d = U+51e1 // 凡
967e = U+76c6 // 盆
9680 = U+6469 // 摩
9681 = U+78e8 // 磨
9682 = U+9b54 // 魔
9683 = U+9ebb // 麻
9684 = U+57cb // 埋
9685 = U+59b9 // 妹
9686 = U+6627 // 昧
9687 = U+679a // 枚
9688 = U+6bce // 毎
9689 = U+54e9 // 哩
968a = U+69d9 // 槙
968b = U+5e55 // 幕
968c = U+819c // 膜
968d = U+6795 // 枕
968e = U+9baa // 鮪
968f = U+67fe // 柾
9690 = U+9c52 // 鱒
9691 = U+685d // 桝
9692 = U+4ea6 // 亦
9693 = U+4fe3 // 俣
9694 = U+53c8 // 又
9695 = U+62b9 // 抹
9696 = U+672b // 末
9697 = U+6cab // 沫
9698 = U+8fc4 // 迄
9699 = U+4fad // 侭
969a = U+7e6d // 繭
969b = U+9ebf // 麿
969c = U+4e07 // 万
969d = U+6162 // 慢
969e = U+6e80 // 満
969f = U+6f2b // 漫
96a0 = U+8513 // 蔓
96a1 = U+5473 // 味
96a2 = U+672a // 未
96a3 = U+9b45 // 魅
96a4 = U+5df3 // 巳
96a5 = U+7b95 // 箕
96a6 = U+5cac // 岬
96a7 = U+5bc6 // 密
96a8 = U+871c // 蜜
96a9 = U+6e4a // 湊
96aa = U+84d1 // 蓑
96ab = U+7a14 // 稔
96ac = U+8108 // 脈
96ad = U+5999 // 妙
96ae = U+7c8d // 粍
96af = U+6c11 // 民
96b0 = U+7720 // 眠
96b1 = U+52d9 // 務
96b2 = U+5922 // 夢
96b3 = U+7121 // 無
96b4 = U+725f // 牟
96b5 = U+77db // 矛
96b6 = U+9727 // 霧
96b7 = U+9d61 // 鵡
96b8 = U+690b // 椋
96b9 = U+5a7f // 婿
96ba = U+5a18 // 娘
96bb = U+51a5 // 冥
96bc = U+540d // 名
96bd = U+547d // 命
96be = U+660e // 明
96bf = U+76df // 盟
96c0 = U+8ff7 // 迷
96c1 = U+9298 // 銘
96c2 = U+9cf4 // 鳴
96c3 = U+59ea // 姪
96c4 = U+725d // 牝
96c5 = U+6ec5 // 滅
96c6 = U+514d // 免
96c7 = U+68c9 // 棉
96c8 = U+7dbf // 綿
96c9 = U+7dec // 緬
96ca = U+9762 // 面
96cb = U+9eba // 麺
96cc = U+6478 // 摸
96cd = U+6a21 // 模
96ce = U+8302 // 茂
96cf = U+5984 // 妄
96d0 = U+5b5f // 孟
96d1 = U+6bdb // 毛
96d2 = U+731b // 猛
96d3 = U+76f2 // 盲
96d4 = U+7db2 // 網
96d5 = U+8017 // 耗
96d6 = U+8499 // 蒙
96d7 = U+5132 // 儲
96d8 = U+6728 // 木
96d9 = U+9ed9 // 黙
96da = U+76ee // 目
96db = U+6762 // 杢
96dc = U+52ff // 勿
96dd = U+9905 // 餅
96de = U+5c24 // 尤
96df = U+623b // 戻
96e0 = U+7c7e // 籾
96e1 = U+8cb0 // 貰
96e2 = U+554f // 問
96e3 = U+60b6 // 悶
96e4 = U+7d0b // 紋
96e5 = U+9580 // 門
96e6 = U+5301 // 匁
96e7 = U+4e5f // 也
96e8 = U+51b6 // 冶
